time,dominant_frequency
0.042667,99.889364
1.042667,222.900996
2.042667,221.025140
3.042667,329.094722
4.042667,439.594850
5.042667,327.519138
6.042667,165.543084
7.042667,491.738973
8.042667,1183.439843
9.042667,584.844861
10.042667,260.964695
11.042667,492.766651
12.042667,1578.860793
13.042667,584.403466
14.042667,94.277036
15.042667,55.551743
16.042667,55.375853
17.042667,55.333324
18.042667,35.587217
19.042667,41.556875
20.042667,784.683102
21.042667,41.685266
22.042667,67.986203
23.042667,72.975862
24.042667,72.880764
25.042667,64.840382
26.042667,25.419815
27.042667,48.788608
28.042667,48.617432
29.042667,55.135976
30.042667,55.461435
31.042667,55.348114
32.042667,55.495554
33.042667,117.993335
34.042667,40.462541
35.042667,41.576738
36.042667,58.126197
37.042667,72.802964
38.042667,73.187983
39.042667,73.011224
40.042667,48.290880
41.042667,48.639102
42.042667,48.521491
43.042667,436.990752
44.042667,517.934282
45.042667,329.860874
46.042667,491.532641
47.042667,995.627718
48.042667,498.457972
49.042667,655.563670
50.042667,879.558831
51.042667,879.216312
52.042667,266.150709
53.042667,657.744231
54.042667,998.198396
55.042667,246.013076
56.042667,782.541129
57.042667,76.484405
58.042667,216.582557
59.042667,221.271584
60.042667,126.662469
61.042667,983.648456
62.042667,247.062910
63.042667,989.228838
64.042667,657.173386
65.042667,221.323416
66.042667,220.833573
67.042667,220.670012
68.042667,782.216153
69.042667,196.525700
70.042667,784.892854
71.042667,783.088441
72.042667,55.388252
73.042667,55.585956
74.042667,55.678726
75.042667,42.064662
76.042667,41.389204
77.042667,41.669541
78.042667,41.792885
79.042667,71.953256
80.042667,72.967717
81.042667,72.849293
82.042667,34.869833
83.042667,995.840013
84.042667,1171.498075
85.042667,392.142041
86.042667,47.713868
87.042667,35.482113
88.042667,55.335276
89.042667,55.572152
90.042667,55.690251
91.042667,42.787381
92.042667,41.667215
93.042667,500.917639
94.042667,41.726649
95.042667,72.001653
96.042667,73.004310
97.042667,72.989493
98.042667,35.011686
99.042667,584.794783
100.042667,48.486740
101.042667,49.248459
102.042667,55.273451
103.042667,55.470312
104.042667,55.580009
105.042667,60.156413
106.042667,36.059349
107.042667,41.396195
108.042667,41.890318
109.042667,60.541625
110.042667,73.012960
111.042667,73.114347
112.042667,72.974970
113.042667,115.561162
114.042667,48.894466
115.042667,48.599633
116.042667,442.779922
117.042667,519.820693
118.042667,328.646605
119.042667,997.460808
120.042667,973.009693
121.042667,985.636114
122.042667,1040.228509
123.042667,973.379586
124.042667,648.112308
